txt_r1_ASR,txt_r1,txt_r5_ASR,txt_r5,txt_r10_ASR,txt_r10,img_r1_ASR,img_r1,img_r5_ASR,img_r5,img_r10_ASR,img_r10,model,num_of_img
82.79,17.0,70.14,29.8,63.3,36.7,87.42,11.5,81.46,18.16,80.02,19.82,ALBEF,baseline
21.71,75.4,7.04,92.7,4.11,95.8,36.19,55.12,19.56,78.38,14.52,84.44,TCL,baseline
74.77,25.0,64.73,35.2,62.9,37.1,96.23,3.46,95.53,4.38,95.53,4.42,ALBEF,1000
21.92,76.7,13.47,86.5,12.02,88.0,49.1,45.62,38.23,60.56,36.41,62.9,TCL,1000
97.29,2.68,84.67,14.44,83.1,16.7,99.39,0.6,98.79,1.056,98.77,1.088,ALBEF,5000
87.99,13.14,35.08,63.32,31.96,67.72,90.62,9.0,62.79,36.204,59.42,40.092,TCL,5000
99.48,0.97,96.19,5.24,91.6,10.74,99.65,0.296,99.22,0.598,99.21,0.624,ALBEF,10000
93.47,5.9,71.66,28.54,45.19,54.81,95.69,4.368,81.89,19.092,72.64,29.14,TCL,10000
99.69,0.395,97.9,2.005,96.0,3.985,99.7,0.15,99.32,0.317,99.33,0.351,ALBEF,20000
96.63,2.705,85.03,13.81,71.84,27.12,97.83,2.139,91.13,9.52,84.73,15.874,TCL,20000
