i,qp_value,qn_value,qfd_value,qfr_value,qo_value,qs_value,qr_value,cl_value,encode_time,encode_size,decode_time,suffix,alg,scene_name,original_size,numOf3DGS
0,16,1,16,16,16,16,16,3,8583,380908867,4126,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,drjohnson,844479476,3405153
1,16,1,16,16,16,16,16,3,8611,380908867,4043,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,drjohnson,844479476,3405153
2,16,1,16,16,16,16,16,3,8503,380908867,4069,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,drjohnson,844479476,3405153
3,16,1,16,16,16,16,16,3,8429,380908867,4052,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,drjohnson,844479476,3405153
4,16,1,16,16,16,16,16,3,8813,380908867,4404,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,drjohnson,844479476,3405153
0,16,1,16,16,16,16,16,5,8496,379986641,4007,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,drjohnson,844479476,3405153
1,16,1,16,16,16,16,16,5,8242,379986641,3947,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,drjohnson,844479476,3405153
2,16,1,16,16,16,16,16,5,9469,379986641,4988,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,drjohnson,844479476,3405153
3,16,1,16,16,16,16,16,5,13455,379986641,9154,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,drjohnson,844479476,3405153
4,16,1,16,16,16,16,16,5,12303,379986641,6670,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,drjohnson,844479476,3405153
0,16,1,16,16,16,16,16,7,8306,379986641,4058,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,drjohnson,844479476,3405153
1,16,1,16,16,16,16,16,7,8289,379986641,4780,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,drjohnson,844479476,3405153
2,16,1,16,16,16,16,16,7,8573,379986641,4062,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,drjohnson,844479476,3405153
3,16,1,16,16,16,16,16,7,8300,379986641,4019,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,drjohnson,844479476,3405153
4,16,1,16,16,16,16,16,7,8664,379986641,4739,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,drjohnson,844479476,3405153
0,16,1,16,16,16,16,16,9,9480,379986641,5422,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,drjohnson,844479476,3405153
1,16,1,16,16,16,16,16,9,8805,379986641,5078,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,drjohnson,844479476,3405153
2,16,1,16,16,16,16,16,9,8139,379986641,4062,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,drjohnson,844479476,3405153
3,16,1,16,16,16,16,16,9,8546,379986641,4023,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,drjohnson,844479476,3405153
4,16,1,16,16,16,16,16,9,8492,379986641,4022,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,drjohnson,844479476,3405153
0,16,1,16,16,16,16,16,3,6656,277457142,2938,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,playroom,631438300,2546116
1,16,1,16,16,16,16,16,3,6591,277457142,2927,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,playroom,631438300,2546116
2,16,1,16,16,16,16,16,3,6512,277457142,2935,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,playroom,631438300,2546116
3,16,1,16,16,16,16,16,3,6709,277457142,2922,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,playroom,631438300,2546116
4,16,1,16,16,16,16,16,3,6503,277457142,4373,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,playroom,631438300,2546116
0,16,1,16,16,16,16,16,5,6481,277031567,2874,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,playroom,631438300,2546116
1,16,1,16,16,16,16,16,5,6384,277031567,2864,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,playroom,631438300,2546116
2,16,1,16,16,16,16,16,5,6560,277031567,2891,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,playroom,631438300,2546116
3,16,1,16,16,16,16,16,5,6557,277031567,2875,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,playroom,631438300,2546116
4,16,1,16,16,16,16,16,5,6606,277031567,2874,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,playroom,631438300,2546116
0,16,1,16,16,16,16,16,7,6597,277031567,2879,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,playroom,631438300,2546116
1,16,1,16,16,16,16,16,7,6519,277031567,2907,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,playroom,631438300,2546116
2,16,1,16,16,16,16,16,7,6875,277031567,2886,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,playroom,631438300,2546116
3,16,1,16,16,16,16,16,7,6458,277031567,2947,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,playroom,631438300,2546116
4,16,1,16,16,16,16,16,7,6597,277031567,2898,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,playroom,631438300,2546116
0,16,1,16,16,16,16,16,9,7493,277031567,4882,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,playroom,631438300,2546116
1,16,1,16,16,16,16,16,9,9428,277031567,4563,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,playroom,631438300,2546116
2,16,1,16,16,16,16,16,9,10285,277031567,5870,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,playroom,631438300,2546116
3,16,1,16,16,16,16,16,9,8431,277031567,3769,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,playroom,631438300,2546116
4,16,1,16,16,16,16,16,9,8127,277031567,3945,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,playroom,631438300,2546116
0,16,1,16,16,16,16,16,3,2624,112513152,1249,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,train,254575516,1026508
1,16,1,16,16,16,16,16,3,2873,112513152,1280,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,train,254575516,1026508
2,16,1,16,16,16,16,16,3,2587,112513152,1216,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,train,254575516,1026508
3,16,1,16,16,16,16,16,3,2540,112513152,1238,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,train,254575516,1026508
4,16,1,16,16,16,16,16,3,2577,112513152,1216,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,train,254575516,1026508
0,16,1,16,16,16,16,16,5,2536,112186903,1240,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,train,254575516,1026508
1,16,1,16,16,16,16,16,5,2615,112186903,1262,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,train,254575516,1026508
2,16,1,16,16,16,16,16,5,2564,112186903,1245,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,train,254575516,1026508
3,16,1,16,16,16,16,16,5,2733,112186903,1227,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,train,254575516,1026508
4,16,1,16,16,16,16,16,5,2696,112186903,1252,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,train,254575516,1026508
0,16,1,16,16,16,16,16,7,2866,112186903,1295,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,train,254575516,1026508
1,16,1,16,16,16,16,16,7,2579,112186903,1360,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,train,254575516,1026508
2,16,1,16,16,16,16,16,7,2612,112186903,1249,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,train,254575516,1026508
3,16,1,16,16,16,16,16,7,2579,112186903,1244,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,train,254575516,1026508
4,16,1,16,16,16,16,16,7,2584,112186903,1242,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,train,254575516,1026508
0,16,1,16,16,16,16,16,9,2606,112186903,1290,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,train,254575516,1026508
1,16,1,16,16,16,16,16,9,2581,112186903,1226,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,train,254575516,1026508
2,16,1,16,16,16,16,16,9,2539,112186903,1221,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,train,254575516,1026508
3,16,1,16,16,16,16,16,9,2587,112186903,1223,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,train,254575516,1026508
4,16,1,16,16,16,16,16,9,2535,112186903,1226,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,train,254575516,1026508
0,16,1,16,16,16,16,16,3,7226,268264666,3048,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,truck,630225580,2541226
1,16,1,16,16,16,16,16,3,7355,268264666,3096,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,truck,630225580,2541226
2,16,1,16,16,16,16,16,3,7055,268264666,3125,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,truck,630225580,2541226
3,16,1,16,16,16,16,16,3,7055,268264666,3199,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,truck,630225580,2541226
4,16,1,16,16,16,16,16,3,7077,268264666,3060,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl3,draco,truck,630225580,2541226
0,16,1,16,16,16,16,16,5,7490,267462162,3115,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,truck,630225580,2541226
1,16,1,16,16,16,16,16,5,7050,267462162,3375,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,truck,630225580,2541226
2,16,1,16,16,16,16,16,5,6816,267462162,3054,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,truck,630225580,2541226
3,16,1,16,16,16,16,16,5,7147,267462162,3034,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,truck,630225580,2541226
4,16,1,16,16,16,16,16,5,7716,267462162,5869,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl5,draco,truck,630225580,2541226
0,16,1,16,16,16,16,16,7,7189,267462162,3090,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,truck,630225580,2541226
1,16,1,16,16,16,16,16,7,6964,267462162,3166,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,truck,630225580,2541226
2,16,1,16,16,16,16,16,7,7025,267462162,4500,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,truck,630225580,2541226
3,16,1,16,16,16,16,16,7,6925,267462162,3058,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,truck,630225580,2541226
4,16,1,16,16,16,16,16,7,7422,267462162,3089,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl7,draco,truck,630225580,2541226
0,16,1,16,16,16,16,16,9,10805,267462162,5810,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,truck,630225580,2541226
1,16,1,16,16,16,16,16,9,11641,267462162,5075,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,truck,630225580,2541226
2,16,1,16,16,16,16,16,9,9623,267462162,5686,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,truck,630225580,2541226
3,16,1,16,16,16,16,16,9,7688,267462162,3353,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,truck,630225580,2541226
4,16,1,16,16,16,16,16,9,7112,267462162,3850,qp16_qn1_qfd16_qfr16_qo16_qs16_qr16_cl9,draco,truck,630225580,2541226
